sid,cid,jing,wei,price,mid
s_374984,c_36,121.0059,32.323065,49,m_5825
s_386246,c_34,121.00799599999999,32.322761,36,m_5825
s_387277,c_27,121.00706299999999,32.323199,44,m_5825
s_387377,c_38,121.007948,32.322763,44,m_5825
s_388272,c_13,121.007451,32.323462,56,m_5825
s_389843,c_43,121.00765700000001,32.322825,63,m_5825
s_390117,c_49,121.007478,32.322935,64,m_5825
s_390231,c_19,121.00673300000001,32.32314,56,m_5825
s_390418,c_42,121.006928,32.322833,62,m_5825
s_391765,c_42,121.007065,32.323194,42,m_5825
s_392099,c_27,121.007655,32.322871,45,m_5825
s_392164,c_34,121.006828,32.323142,42,m_5825
s_392555,c_26,121.00776599999999,32.32284,47,m_5825
s_392651,c_51,121.00701399999998,32.323093,61,m_5825
s_392768,c_13,121.006824,32.323187,62,m_5825
s_393233,c_34,121.007001,32.322977,30,m_5825
s_393529,c_24,121.008021,32.322627000000004,55,m_5825
s_395922,c_26,121.007065,32.322457,44,m_5825
s_396021,c_28,121.007251,32.323297,39,m_5825
s_396707,c_28,121.007865,32.322796999999994,41,m_5825
s_397631,c_28,121.00813400000001,32.32278,47,m_5825
s_398450,c_38,121.007465,32.323165,44,m_5825
s_399330,c_28,121.005894,32.323082,60,m_5825
s_399439,c_14,121.007097,32.323046000000005,49,m_5825
s_400259,c_26,121.006798,32.323081,56,m_5825
s_400620,c_49,121.007065,32.323065,63,m_5825
s_400991,c_49,121.006693,32.322402000000004,56,m_5825
s_403766,c_27,121.00726599999999,32.322989,50,m_5825
s_406177,c_59,121.00653500000001,32.323032,53,m_5825
s_409468,c_34,121.00595700000001,32.322992,40,m_5825
s_410467,c_10,121.00749499999999,32.323515,57,m_5825
s_410720,c_29,121.006748,32.323887,45,m_5825
s_412272,c_26,121.007488,32.322897999999995,47,m_5825
s_422177,c_55,121.006748,32.323887,61,m_5825
s_428232,c_28,121.006352,32.323039,40,m_5825
s_429997,c_135,121.00830900000001,32.322596000000004,61,m_5825
s_434008,c_135,121.00723,32.323026,58,m_5825
s_436341,c_38,121.006693,32.322402000000004,44,m_5825
s_436752,c_28,121.006748,32.323887,50,m_5825
s_436858,c_28,121.008021,32.322587,45,m_5825
s_438771,c_28,121.006748,32.323887,45,m_5825
s_448135,c_28,121.00590700000001,32.323046999999995,44,m_5825
s_463766,c_30,121.00608700000001,32.322992,52,m_5825
s_471344,c_2,121.007883,32.32257,55,m_5825
s_476865,c_13,121.005466,32.323192,50,m_5825
s_477088,c_38,121.007066,32.323199,40,m_5825
s_481614,c_38,121.007066,32.323199,44,m_5825
s_489295,c_34,121.005901,32.323128000000004,39,m_5825
s_494912,c_2,121.007594,32.322542,59,m_5825
s_511004,c_28,121.007981,32.322765999999994,42,m_5825
s_513542,c_9,121.007567,32.322911,55,m_5825
s_521687,c_36,121.00591100000001,32.322953000000005,50,m_5825
s_554901,c_38,121.007323,32.32185,40,m_5825
s_576221,c_28,121.007823,32.322609,44,m_5825
s_592405,c_15,121.00660800000001,32.323161999999996,61,m_5825
s_593259,c_28,121.007604,32.323009000000006,44,m_5825
s_594102,c_33,121.006171,32.323109,53,m_5825
s_617100,c_53,121.007594,32.322542,62,m_5825
s_677821,c_49,121.007594,32.322542,53,m_5825
s_721758,c_25,121.008023,32.32277,46,m_5825
s_752560,c_1,121.007605,32.322876,59,m_5825
s_872394,c_1,121.00746699999999,32.323407,54,m_5825
s_949342,c_33,121.00793300000001,32.3224,48,m_5825
s_1872042,c_11,121.006795,32.32382,61,m_5825
s_2037291,c_1,121.006693,32.322402000000004,54,m_5825
s_2155974,c_12,121.00710900000001,32.322616,60,m_5825
s_2737542,c_11,121.008349,32.322749,63,m_5825
s_2873271,c_28,121.006693,32.322402000000004,40,m_5825
s_2919215,c_38,121.00790500000001,32.322354,46,m_5825
s_2982084,c_30,121.006693,32.322402000000004,45,m_5825
s_3021207,c_28,121.006693,32.322402000000004,40,m_5825
s_3230173,c_28,121.006693,32.322402000000004,44,m_5825
s_3378507,c_56,121.006693,32.322402000000004,53,m_5825
s_3425100,c_29,121.006693,32.322402000000004,48,m_5825
s_3521031,c_38,121.00668799999998,32.322635999999996,51,m_5825
s_3586197,c_48,121.006693,32.322402000000004,60,m_5825
s_3634579,c_34,121.00668799999998,32.322635999999996,41,m_5825
s_3726100,c_6,121.00821699999999,32.322703999999995,53,m_5825
s_3747614,c_10,121.006997,32.323024,58,m_5825
s_3774961,c_26,121.007948,32.322759000000005,46,m_5825
s_3889757,c_13,121.00784499999999,32.322703000000004,52,m_5825
s_3974805,c_38,121.007594,32.322542,42,m_5825
s_3995541,c_1,121.008229,32.322720000000004,54,m_5825
