sid,cid,jing,wei,price,mid
s_14960,c_50,104.441868,31.36242,61,m_3019
s_141426,c_29,104.441709,31.361753999999998,47,m_3019
s_180535,c_38,104.44032,31.362309000000003,36,m_3019
s_372193,c_11,104.441895,31.362371999999997,56,m_3019
s_375562,c_1,104.440611,31.362574,57,m_3019
s_376621,c_24,104.440609,31.362575,60,m_3019
s_378561,c_28,104.440611,31.362574,41,m_3019
s_379487,c_38,104.441819,31.36175,40,m_3019
s_379620,c_59,104.440611,31.362574,40,m_3019
s_382017,c_38,104.441801,31.36198,50,m_3019
s_383212,c_26,104.440771,31.362482,40,m_3019
s_383755,c_30,104.440601,31.362593,43,m_3019
s_384336,c_33,104.440859,31.362309999999997,50,m_3019
s_384780,c_36,104.44104899999999,31.362121000000002,50,m_3019
s_386088,c_30,104.440609,31.362575,50,m_3019
s_386161,c_36,104.440573,31.362340000000003,50,m_3019
s_389555,c_29,104.440478,31.362173,57,m_3019
s_394724,c_54,104.440488,31.363013,49,m_3019
s_398738,c_49,104.44073900000001,31.362378999999997,60,m_3019
s_403990,c_27,104.44165600000001,31.362633000000002,50,m_3019
s_436419,c_2,104.44152,31.362138,64,m_3019
s_439729,c_43,104.441014,31.362684,66,m_3019
s_441708,c_49,104.44152,31.362138,64,m_3019
s_461223,c_1,104.442145,31.361632,54,m_3019
s_465504,c_11,104.44152,31.362138,60,m_3019
s_476314,c_19,104.441038,31.362475,58,m_3019
s_485630,c_11,104.440577,31.362688000000002,60,m_3019
s_504120,c_1,104.441937,31.360756,60,m_3019
s_520370,c_33,104.440711,31.362491,50,m_3019
s_521547,c_47,104.440595,31.362551,67,m_3019
s_579073,c_19,104.442349,31.361058,59,m_3019
s_597803,c_55,104.442017,31.362252,64,m_3019
s_621759,c_34,104.44152,31.362138,44,m_3019
s_634435,c_34,104.440974,31.362540000000003,38,m_3019
s_662903,c_56,104.44152,31.362138,57,m_3019
s_762783,c_34,104.44152,31.362138,35,m_3019
s_763464,c_33,104.44169000000001,31.361786,48,m_3019
s_768771,c_7,104.44152,31.362138,67,m_3019
s_821170,c_53,104.441056,31.362052000000002,64,m_3019
s_826180,c_26,104.44152,31.362138,46,m_3019
s_931814,c_50,104.44152,31.362138,77,m_3019
s_996334,c_26,104.440792,31.362509000000003,58,m_3019
s_1005343,c_47,104.440765,31.362471000000003,64,m_3019
s_1180531,c_49,104.44051400000001,31.362977,57,m_3019
s_1381318,c_36,104.44169000000001,31.361786,62,m_3019
s_1454924,c_59,104.441355,31.362027,47,m_3019
s_1498344,c_34,104.44085,31.362671000000002,42,m_3019
s_1930802,c_36,104.44175,31.362416999999997,44,m_3019
s_1951185,c_28,104.440537,31.362403000000004,46,m_3019
s_1960167,c_36,104.441476,31.362523,44,m_3019
s_1965485,c_38,104.441476,31.362523,45,m_3019
s_2080003,c_12,104.44152,31.362138,55,m_3019
s_2718207,c_28,104.440904,31.362813,50,m_3019
s_3250879,c_28,104.44175899999999,31.362396,41,m_3019
s_3256363,c_24,104.44066600000001,31.362682,70,m_3019
s_3422165,c_38,104.440173,31.362510999999998,47,m_3019
s_3767532,c_62,104.44152,31.362138,55,m_3019
s_3784961,c_38,104.44152,31.362138,45,m_3019
s_3791472,c_4,104.44171899999999,31.362204,61,m_3019
s_3795241,c_53,104.44152,31.362138,63,m_3019
s_3824406,c_14,104.440471,31.362793,49,m_3019
s_3875022,c_28,104.44064,31.362688000000002,41,m_3019
