sid,cid,jing,wei,price,mid
s_1872,c_38,117.36589199999999,40.638892,54,m_4079
s_2566,c_11,117.36089199999999,40.6385,63,m_4079
s_3556,c_30,117.36301999999999,40.638531,56,m_4079
s_4430,c_47,117.361002,40.638503,60,m_4079
s_8203,c_29,117.363031,40.638519,50,m_4079
s_10413,c_49,117.364418,40.638529999999996,60,m_4079
s_14107,c_50,117.36057199999999,40.638474,63,m_4079
s_15627,c_28,117.363431,40.638646,60,m_4079
s_21058,c_36,117.36148200000001,40.638424,44,m_4079
s_22613,c_48,117.36445800000001,40.638651,61,m_4079
s_41995,c_13,117.362668,40.638518,58,m_4079
s_42529,c_11,117.362076,40.638566,64,m_4079
s_43950,c_24,117.359916,40.638528,55,m_4079
s_44757,c_29,117.359575,40.638433,54,m_4079
s_46669,c_1,117.36221599999999,40.638787,55,m_4079
s_46722,c_19,117.364928,40.638657,61,m_4079
s_49802,c_33,117.365949,40.638751,52,m_4079
s_50248,c_30,117.364349,40.638687,49,m_4079
s_60041,c_36,117.363717,40.638595,62,m_4079
s_60348,c_27,117.361768,40.638384,46,m_4079
s_71264,c_38,117.36286899999999,40.638456,46,m_4079
s_77364,c_52,117.36286299999999,40.638565,56,m_4079
s_97521,c_6,117.36134399999999,40.638438,58,m_4079
s_130420,c_6,117.363777,40.638719,60,m_4079
s_146693,c_39,117.36293300000001,40.638211,60,m_4079
s_165433,c_53,117.36346599999999,40.638560999999996,63,m_4079
s_180598,c_30,117.365996,40.638634,42,m_4079
s_181552,c_30,117.365996,40.638634,40,m_4079
s_181558,c_30,117.365996,40.638634,40,m_4079
s_181637,c_30,117.365996,40.638634,40,m_4079
s_181894,c_30,117.365996,40.638634,40,m_4079
s_181895,c_30,117.365996,40.638634,40,m_4079
s_181965,c_30,117.365996,40.638634,36,m_4079
s_181978,c_30,117.365996,40.638634,34,m_4079
s_182262,c_30,117.365996,40.638634,36,m_4079
s_182503,c_30,117.365996,40.638634,40,m_4079
s_182594,c_30,117.365996,40.638634,40,m_4079
s_183100,c_30,117.365996,40.638634,40,m_4079
s_250851,c_30,117.36336299999999,40.638667,50,m_4079
s_251677,c_34,117.364333,40.638653999999995,39,m_4079
s_309881,c_59,117.36335700000001,40.638388,36,m_4079
s_376965,c_10,117.36400900000001,40.638621,56,m_4079
s_382305,c_38,117.364287,40.638616,50,m_4079
s_383986,c_1,117.364779,40.638632,66,m_4079
s_400605,c_59,117.362981,40.638261,53,m_4079
s_427441,c_41,117.36113300000001,40.63815,62,m_4079
s_441102,c_38,117.36416100000001,40.638556,54,m_4079
s_469045,c_38,117.364552,40.638637,50,m_4079
s_471445,c_49,117.36438400000002,40.638645000000004,67,m_4079
s_475016,c_41,117.36163400000001,40.638459000000005,79,m_4079
s_529854,c_11,117.363955,40.637794,57,m_4079
s_532313,c_25,117.363098,40.638298,50,m_4079
s_532585,c_49,117.361373,40.638422,78,m_4079
s_533036,c_38,117.363096,40.638528,41,m_4079
s_533113,c_33,117.360974,40.638372,50,m_4079
s_533248,c_38,117.363069,40.638556,34,m_4079
s_535985,c_36,117.361851,40.638405999999996,50,m_4079
s_536271,c_7,117.36156899999999,40.638405999999996,57,m_4079
s_536574,c_50,117.364741,40.63868,61,m_4079
s_538680,c_28,117.36157800000001,40.638435,40,m_4079
s_539603,c_33,117.36068700000001,40.638458,53,m_4079
s_555802,c_36,117.36325900000001,40.638579,48,m_4079
s_575473,c_13,117.366064,40.638335,66,m_4079
s_584829,c_24,117.361756,40.638341,61,m_4079
s_591579,c_50,117.363545,40.638584,62,m_4079
s_591699,c_26,117.364526,40.638653999999995,53,m_4079
s_626676,c_30,117.361682,40.638399,45,m_4079
s_626932,c_50,117.363576,40.638524,70,m_4079
s_628262,c_25,117.36353799999999,40.638563,50,m_4079
s_630035,c_38,117.36230800000001,40.638366999999995,59,m_4079
s_631011,c_38,117.36273600000001,40.638452,51,m_4079
s_638679,c_53,117.36436,40.638653000000005,64,m_4079
s_725518,c_25,117.364741,40.63868,50,m_4079
s_812152,c_50,117.364271,40.638666,61,m_4079
s_838121,c_49,117.36142,40.638349,64,m_4079
s_841592,c_50,117.365835,40.638611,51,m_4079
s_1364320,c_51,117.36081499999999,40.638354,60,m_4079
s_2209101,c_14,117.36229399999999,40.638376,49,m_4079
s_2568846,c_27,117.361378,40.638154,51,m_4079
s_2879681,c_42,117.36563899999999,40.638174,61,m_4079
s_2900092,c_30,117.36571299999999,40.638588,44,m_4079
s_2905830,c_36,117.36438500000001,40.638605,47,m_4079
s_3020477,c_33,117.36322,40.638341,51,m_4079
s_3579184,c_50,117.36013999999999,40.638397999999995,63,m_4079
s_3647052,c_27,117.36098600000001,40.638564,44,m_4079
s_3805935,c_49,117.365276,40.638444,63,m_4079
s_3829911,c_27,117.361646,40.638455,40,m_4079
s_3835504,c_1,117.362874,40.638436999999996,60,m_4079
s_3994762,c_49,117.362594,40.638311,60,m_4079
s_4034222,c_50,117.35913700000002,40.638144,60,m_4079
s_4056216,c_26,117.365623,40.638515000000005,44,m_4079
